event_id,frame,t_s,x_px,y_px,x_mm,y_mm,speed_px_s,speed_mm_s,event_type
1,2,0.08,,,,,0.0,0.0,low_speed_candidate
2,11,0.44,,,,,0.0,0.0,low_speed_candidate
3,20,0.8,489.6381530761719,-11.268739700317385,361.09008338950724,-8.310280014983322,0.0,0.0,low_speed_candidate
4,49,1.96,305.9046142578125,159.35092468261718,225.59337334646938,117.51543118187107,11.573898491965265,8.5353233716558,low_speed_candidate
5,70,2.8,287.84617309570314,170.30535278320312,212.275938861138,125.5939179817132,6.486591863568103,4.783622318265563,low_speed_candidate
6,80,3.2,290.7610778808594,158.37294921875,214.42557365845084,116.7942103383112,13.712766539479018,10.112659689881282,low_speed_candidate
7,94,3.76,297.32569580078126,161.6253875732422,219.26673731621037,119.19276369708126,9.652973013474416,7.118711661854288,low_speed_candidate
8,106,4.24,303.2299743652344,158.93999328613282,223.62092504810795,117.21238442930148,2.181371828525883,1.6086812894733649,low_speed_candidate
9,117,4.68,301.685009765625,159.20066528320314,222.48157062361724,117.40462041534154,1.304330921717622,0.9618959599687478,low_speed_candidate
10,128,5.12,301.63746337890626,158.59832458496095,222.4465069165975,116.96041636059066,3.5527738338093755,2.6200397004493916,low_speed_candidate
11,144,5.76,325.68963623046875,117.58299560546877,240.18409751509492,86.71312360285307,5.321006626128756,3.924046184460734,low_speed_candidate
12,169,6.76,277.75218505859374,175.8387878417969,204.8319948809688,129.67462230221008,28.83507368453501,21.264803602164463,low_speed_candidate
13,193,7.72,295.6627197265625,106.81987915039062,218.0403537806508,78.77572208730871,5.550540266440265,4.093318780560668,low_speed_candidate
14,211,8.44,283.1365478515625,160.28074340820314,208.80276390233223,118.20113820663947,12.53975401457755,9.24760620544067,low_speed_candidate
15,228,9.12,266.9709106445313,109.23773040771484,196.8812025402148,80.5587982357779,17.152172852979692,12.649095024321307,low_speed_candidate
16,237,9.48,307.60996704101564,164.74292907714843,226.8510081423419,121.49183560261683,13.835548281588173,10.203206697336409,low_speed_candidate
17,256,10.24,307.0150817871093,81.22053833007813,226.41230220288296,59.897152160824575,17.996572427619906,13.271808574940932,low_speed_candidate
18,280,11.2,299.09238891601564,195.16558227539065,220.56960834514425,143.92742055707274,23.143240877085795,17.067286782511648,low_speed_candidate
19,292,11.68,321.1805847167969,175.25686340332032,236.85883828672334,129.24547448622442,17.57466163756038,12.960664924454555,low_speed_candidate
20,322,12.88,301.14361572265625,197.2395477294922,222.08231247983497,145.4568936058202,21.806361598337556,16.081387609393477,low_speed_candidate
21,350,14.0,311.3279174804687,96.68940582275393,229.59285949887072,71.30487155070348,30.981822334548426,22.847951574150756,low_speed_candidate
22,369,14.76,299.29523315429685,196.66588439941407,220.71919849136935,145.03383805266523,21.337018142060533,15.735264116563814,low_speed_candidate
23,388,15.52,303.59465942382815,65.22860412597656,223.88986683173167,48.10369035838979,11.92916041514751,8.79731594037427,low_speed_candidate
24,401,16.04,305.59722290039065,76.45629577636718,225.36668355486034,56.38369895012329,13.596096662683555,10.026619957731235,low_speed_candidate
25,415,16.6,309.9291748046875,75.66622009277344,228.56133835153943,55.80104726605711,7.465264941840193,5.5053576267258055,low_speed_candidate
26,427,17.08,291.5716552734375,60.794760131835936,215.0233445969303,44.83389390253387,18.508832746120905,13.649581671180608,low_speed_candidate
27,440,17.6,296.7868896484375,65.36058044433594,218.86938764634033,48.20101802679641,7.007110326159725,5.167485491268233,low_speed_candidate
28,483,19.32,272.6810302734375,72.86114501953125,201.09220521639932,53.73240783151272,16.918463060874018,12.476742670261075,low_speed_candidate
29,505,20.2,278.4641479492187,177.08988342285156,205.35704126048577,130.59725916139493,11.626496161201503,8.574112213275445,low_speed_candidate
30,514,20.56,290.09389038085936,186.10778198242187,213.93354747850984,137.24762683069457,22.539363128147603,16.62194920954838,low_speed_candidate
31,549,21.96,260.5804748535156,48.83641357421875,192.16849177987876,36.015054258273416,18.977358606271736,13.995102217014553,low_speed_candidate
32,568,22.72,273.3937072753906,97.894873046875,201.61777822668924,72.19385917911136,24.12178354987886,17.78892592173957,low_speed_candidate
33,682,27.28,277.79013671875,64.86886749267578,204.85998283093656,47.838397855955584,20.632749429750287,15.215891909845343,low_speed_candidate
34,699,27.96,304.8368103027344,72.44556884765625,224.8059073029015,53.42593572836006,30.34125924948228,22.375559918497256,low_speed_candidate
35,722,28.88,396.927978515625,162.92930603027344,292.719748167865,120.15435547955268,20.405283079785967,15.048143864148942,low_speed_candidate
36,735,29.4,395.52568359375,168.17862854003906,291.68560737002207,124.02553727141523,4.2392525440283375,3.1262924365990687,low_speed_candidate
37,749,29.96,391.9506591796875,167.9282196044922,289.04915868708514,123.84086991481725,5.395063934904216,3.978660718955911,low_speed_candidate
