event_id,frame,t_s,x_px,y_px,x_mm,y_mm,speed_px_s,speed_mm_s,event_type
1,7,0.28,386.6910278320312,213.71152954101564,285.1703745073976,157.60437281785812,9.258128101529168,6.827528098472838,low_speed_candidate
2,18,0.72,388.5807678222656,205.8594665527344,286.5639880695174,151.8137658943469,33.561690902619475,24.7505095152061,low_speed_candidate
3,33,1.32,400.1782165527344,206.62765808105465,295.11667887369794,152.38027882083676,1.6963090662084317,1.2509653880593152,low_speed_candidate
4,44,1.76,398.2549987792969,205.13611450195316,293.6983766808974,151.280320429169,3.578104010904435,2.6387197720534177,low_speed_candidate
5,56,2.24,390.9615783691406,199.0795104980469,288.3197480598382,146.81379830239445,18.423332651166984,13.58652850381046,low_speed_candidate
6,69,2.76,389.6506042480469,184.8515380859375,287.3529529852853,136.32119327871496,13.780012606390107,10.16225118465347,low_speed_candidate
7,87,3.48,387.92578125,200.9330078125,286.08095962389376,148.18068422750736,12.90218837525671,9.514888182342705,low_speed_candidate
8,102,4.08,406.84666137695314,182.7560913085937,300.0344110449507,134.77587854616056,9.47821944981844,6.98983735237348,low_speed_candidate
9,121,4.84,412.59697265625,363.2031311035156,304.27505358130526,267.8489167430056,20.41945732006524,15.05859684370593,low_speed_candidate
10,167,6.68,402.890966796875,212.548388671875,297.1172321510877,156.74659931554203,36.384564601888606,26.83227478015384,low_speed_candidate
11,186,7.44,382.2870178222656,113.5798095703125,281.92257951494514,83.76092151202987,22.03772012119026,16.252005989078363,low_speed_candidate
12,212,8.48,358.8864501953125,195.2069610595703,264.6655237428558,143.95793588463886,20.641254342296754,15.222163969245393,low_speed_candidate
13,229,9.16,354.77276000976565,102.67560119628908,261.6318289157564,75.71946990876775,20.720926443743508,15.28091920630052,low_speed_candidate
14,247,9.88,392.535546875,228.30243835449215,289.4804917957227,168.3646300549352,12.540041873762055,9.247818490974966,low_speed_candidate
15,269,10.76,354.9462341308593,69.96026306152343,261.7597596835245,51.59311435215592,39.88903936738875,29.416695698664267,low_speed_candidate
16,282,11.28,395.2046203613281,226.7126831054688,291.4488350747257,167.19224417807433,12.46817358456276,9.194818277701149,low_speed_candidate
17,308,12.32,389.0672790527344,82.76904754638672,286.9227721627835,61.03912060942973,7.89956134935476,5.825635213388465,low_speed_candidate
18,328,13.12,368.7227478027344,178.82965393066405,271.9194305329899,131.88027576007673,21.17847895757965,15.618347313849299,low_speed_candidate
19,344,13.76,411.7938110351562,85.73680267333984,303.68275150085265,63.22773058505887,8.997795186552686,6.635542172973957,low_speed_candidate
20,370,14.8,357.772802734375,210.01608276367188,263.8442498041113,154.87911708235387,11.644361088633104,8.587286938519988,low_speed_candidate
21,412,16.48,351.34853515625,206.815185546875,259.10658934826694,152.5185734121497,1.506153719038744,1.1107328311495162,low_speed_candidate
22,467,18.68,371.6646728515625,264.5751953125,274.0889917784384,195.11445082042772,38.08564531904943,28.08675908484471,low_speed_candidate
23,506,20.24,419.18804321289065,119.46902923583984,309.1357250832527,88.10400386123881,33.67904161291985,24.837051336961544,low_speed_candidate
24,533,21.32,352.2129211425781,114.81343688964844,259.7440421405443,84.67067617230711,32.93801549957342,24.290571902340275,low_speed_candidate
25,571,22.84,355.8508361816406,43.79002304077149,262.4268703404429,32.29352731620316,24.803096347119094,18.291368987550953,low_speed_candidate
26,600,24.0,412.7512512207031,51.13259048461914,304.38882833385185,37.7084000624035,17.84262072792812,13.158274873103334,low_speed_candidate
27,638,25.52,412.3829345703125,184.85610961914065,304.1172083851862,136.32456461588544,0.0,0.0,low_speed_candidate
28,647,25.88,600.6094970703125,89.66329193115234,442.9273577214694,66.12337163064332,0.0,0.0,low_speed_candidate
29,656,26.24,600.6094970703125,89.66329193115234,442.9273577214694,66.12337163064332,0.0,0.0,low_speed_candidate
30,665,26.6,,,,,0.0,0.0,low_speed_candidate
31,674,26.96,,,,,0.0,0.0,low_speed_candidate
32,683,27.32,,,,,0.0,0.0,low_speed_candidate
