event_id,frame,t_s,x_px,y_px,x_mm,y_mm,speed_px_s,speed_mm_s,event_type
1,5,0.2,304.8318176269531,177.23320617675782,224.8022253886085,130.7029544076385,8.118983870353851,5.987451231824374,low_speed_candidate
2,14,0.56,304.1970642089844,169.93374633789062,224.33411814821855,125.3198719305978,25.24729448028372,18.618948731772655,low_speed_candidate
3,23,0.92,311.97243041992186,165.0244140625,230.06816402649105,121.69942040007373,8.910644395389669,6.57127167801598,low_speed_candidate
4,33,1.32,314.6889587402344,166.71753845214843,232.07150349574806,122.94803720659912,2.458277984346145,1.8128893689868324,low_speed_candidate
5,42,1.68,316.42108764648435,168.14510498046874,233.34888469504745,124.00081488235158,3.615341121316829,2.6661807679327647,low_speed_candidate
6,53,2.12,311.4169372558593,169.31830749511718,229.65850830078116,124.86600847722505,2.21377107554032,1.6325745394840119,low_speed_candidate
7,63,2.52,317.8016662597656,165.87237243652345,234.36701051605132,122.32475843401433,13.287529341866366,9.79906293647962,low_speed_candidate
8,77,3.08,311.76723022460936,166.3490783691406,229.91683644882696,122.67631148166711,11.630259003105152,8.576887170431528,low_speed_candidate
9,86,3.44,313.4154479980469,171.57027587890624,231.13233628174547,126.52675212308719,2.992903793774373,2.207156190099095,low_speed_candidate
10,99,3.96,316.26618041992185,148.20869140625,233.23464632737597,109.29844498985989,33.238972072173326,24.512516277413955,low_speed_candidate
11,123,4.92,365.2154846191407,277.1273254394531,269.3329532589533,204.37118395239904,28.724516977657714,21.183272107417192,low_speed_candidate
12,159,6.36,323.3208251953125,111.10567321777344,238.43718672220686,81.93633718124885,11.247246778084934,8.294429777348771,low_speed_candidate
13,188,7.52,294.90009765625,111.02309722900392,217.47794812407815,81.87544043436867,19.874656776792357,14.656826531557783,low_speed_candidate
14,198,7.92,291.08726806640624,99.81867370605468,214.66612689262996,73.61259122865388,34.274460927393775,25.276151126396588,low_speed_candidate
15,207,8.28,284.3877197265625,168.68050842285157,209.72545702548857,124.39565517909408,16.133202093911354,11.897641662176515,low_speed_candidate
16,225,9.0,274.80250244140626,100.69188232421877,202.65671271490135,74.25655038659201,28.70587532846251,21.169524578512174,low_speed_candidate
17,247,9.88,325.2732177734375,187.03832397460937,239.87700425769728,137.9338672379125,6.611151920053063,4.875480767000783,low_speed_candidate
18,286,11.44,326.5658569335937,179.6317169189453,240.8302779746266,132.4717676393402,22.487188189799088,16.58347211637101,low_speed_candidate
19,309,12.36,288.7428955078125,81.52930145263672,212.93723857508294,60.12485357864064,9.692342501359226,7.147745207492054,low_speed_candidate
20,345,13.8,306.7765258789062,82.10966339111329,226.23637601689248,60.55284910849062,23.074164640260687,17.01634560491201,low_speed_candidate
21,392,15.68,255.57886352539063,56.58930282592773,188.47998785058306,41.732524207911304,24.970160757664527,18.41457283013608,low_speed_candidate
22,409,16.36,284.32998046875,176.09898376464844,209.68287645188053,129.86650720106817,17.806211329901405,13.131424284588055,low_speed_candidate
23,439,17.56,286.37208862304686,62.982164001464845,211.18885591670121,46.44702359990033,19.38984058453561,14.299292466471687,low_speed_candidate
24,459,18.36,306.33837890625,222.6315734863281,225.91325878042034,164.1825763173511,6.3835444859435135,4.7076286769494935,low_speed_candidate
25,489,19.56,309.1789794921875,61.66908721923828,228.00809697063974,45.47867789029371,23.475949595586396,17.312647194385246,low_speed_candidate
26,508,20.32,329.0040283203125,107.65926971435547,242.62833946925699,79.3947416772533,29.45435185940566,21.721498421390603,low_speed_candidate
27,565,22.6,256.8876007080078,71.51940155029297,189.44513326549247,52.742921497266195,15.618121798385587,11.517788936862527,low_speed_candidate
28,600,24.0,303.5687561035156,69.83361511230468,223.87076408813834,51.49971615951672,8.311950107008006,6.1297567160826,low_speed_candidate
29,663,26.52,553.1592895507813,34.357069396972655,407.93457931473546,25.337071826676,21.24860111457805,15.67005981901036,low_speed_candidate
30,673,26.92,544.1537841796875,36.46596145629883,401.2933511649612,26.892301958922438,1.733929388656397,1.2787089886846583,low_speed_candidate
