event_id,frame,t_s,x_px,y_px,x_mm,y_mm,speed_px_s,speed_mm_s,event_type
1,4,0.16,298.7548034667969,204.2918731689453,220.32065152418647,150.65772357591834,14.814743375166488,10.925326972836642,low_speed_candidate
2,17,0.68,335.219970703125,59.170684814453125,247.21236777516592,43.63619824074714,0.0,0.0,low_speed_candidate
3,27,1.08,339.5481663754112,58.06873642770868,250.4042524892413,42.82355193783825,22.331350174499978,16.468547326327418,low_speed_candidate
4,36,1.44,,,,,0.0,0.0,low_speed_candidate
5,45,1.8,,,,,0.0,0.0,low_speed_candidate
6,54,2.16,,,,,0.0,0.0,low_speed_candidate
7,63,2.52,,,,,0.0,0.0,low_speed_candidate
8,72,2.88,,,,,0.0,0.0,low_speed_candidate
9,81,3.24,,,,,0.0,0.0,low_speed_candidate
10,90,3.6,,,,,0.0,0.0,low_speed_candidate
11,99,3.96,,,,,0.0,0.0,low_speed_candidate
12,113,4.52,413.9931319387335,39.11522417570415,305.30466957133734,28.84603552780542,22.33135017449727,16.46854732632542,low_speed_candidate
13,127,5.08,403.1479187011719,29.209562301635746,297.30672470587893,21.540975148698926,0.0,0.0,low_speed_candidate
14,180,7.2,337.985546875,262.8504821777344,249.25187822640117,193.84253847915517,24.50905199666394,18.07452212143358,low_speed_candidate
15,198,7.92,280.7266357421875,217.76012573242187,207.02554258273415,160.5900632244999,16.8599623600462,12.433600560506047,low_speed_candidate
16,218,8.72,357.0909912109375,260.3332092285156,263.34143894611907,191.9861424989053,28.33817873303876,20.89836189752121,low_speed_candidate
17,231,9.24,300.1025146484375,215.28150329589843,221.3145388262813,158.76217057219648,26.526986551923244,19.562674448320976,low_speed_candidate
18,247,9.88,306.6355834960938,197.25274658203125,226.13243620655882,145.46662727288438,7.769036704037737,5.729378100322815,low_speed_candidate
19,281,11.24,293.856005859375,210.27447509765625,216.7079689228429,155.06967190092644,27.07945347702468,19.97009843438398,low_speed_candidate
20,290,11.6,298.5466552734375,195.08984375,220.16714990666483,143.87156618731564,19.41260376603022,14.316079473473613,low_speed_candidate
21,302,12.08,305.3055358886719,187.8359161376953,225.15157513913854,138.52206204844785,2.86507293507178,2.112885645333171,low_speed_candidate
22,319,12.76,333.6205322265625,305.4418579101563,246.03284087504608,225.25210760336006,17.275737332541617,12.740219271785852,low_speed_candidate
23,336,13.44,264.5955078125,194.2361389160156,195.12943054019172,143.24199035104394,27.2630173292171,20.10547000679727,low_speed_candidate
24,359,14.36,302.97191162109374,313.99404296875,223.43061328989214,231.55902873801622,11.923960140990896,8.793480929934288,low_speed_candidate
25,383,15.32,317.4594543457031,217.40335693359376,234.11464184786362,160.32695939055586,20.309104089522386,14.977215405252496,low_speed_candidate
26,404,16.16,313.88409423828125,340.2382568359375,231.47794560345224,250.91316875806598,8.981244951763193,6.623336985076101,low_speed_candidate
27,449,17.96,346.63295288085936,338.2640319824219,255.62902129856883,249.45725072449991,17.95771944923354,13.243155936012935,low_speed_candidate
28,462,18.48,308.2294494628906,189.1525390625,227.3078535862025,139.49302290744836,13.798544737226957,10.17591794780749,low_speed_candidate
29,513,20.52,327.85081176757814,269.36444091796875,241.77788478434965,198.64634285985895,28.258751573471116,20.839787296070142,low_speed_candidate
30,525,21.0,328.932666015625,271.7751098632813,242.57571240090337,200.42412231805403,15.670208659378355,11.556201076237723,low_speed_candidate
31,657,26.28,312.83342285156243,343.11350708007814,230.7031141973174,253.03355979356792,6.542231938167496,4.824654821657445,low_speed_candidate
32,687,27.48,478.5676208496094,293.86256103515626,352.92597407788304,216.71280312327156,27.30000888877336,20.13274991797445,low_speed_candidate
33,700,28.0,441.1375732421875,195.90126037597656,325.3226941314067,144.46995602948124,0.0,0.0,low_speed_candidate
34,717,28.68,552.3197631835938,33.104878997802736,407.3154595749216,24.41362757950054,12.855746248672949,9.480638826454976,low_speed_candidate
35,727,29.08,544.7557250976563,38.57807540893555,401.73726039650165,28.44990811868403,3.7215715376402554,2.744521782920542,low_speed_candidate
36,741,29.64,544.8120239257812,35.93741989135742,401.7787787063283,26.502522043773908,1.2018015057418387,0.8862842962697925,low_speed_candidate
