folder,px_per_mm_mean,px_per_mm_std,num_images,px_per_mm_median_mean,px_per_mm_median_std
cam_left_resized2,1.182354143566348,0.17701425579941074,16,1.2066869497299195,0.16589152379905348
cam_mid_resized2,1.535992036687062,0.26148920064689346,28,1.5593743801116944,0.23594525062350374
cam_right_resized2,1.2019344932475304,0.13956528272929128,30,1.2173261133829751,0.13571722725506066
