folder,image,pattern,mean_square_px,median_square_px,px_per_mm_mean,px_per_mm_median
cam_left_resized2,cam_left_img0.jpg,9x6,16.026903092715735,17.301490783691406,0.8013451546357867,0.8650745391845703
cam_left_resized2,cam_left_img1.jpg,9x6,16.026903092715735,17.301490783691406,0.8013451546357867,0.8650745391845703
cam_left_resized2,cam_left_img10.jpg,9x6,27.110741974205098,27.371654510498047,1.3555370987102549,1.3685827255249023
cam_left_resized2,cam_left_img11.jpg,9x6,26.55930076106902,27.0841121673584,1.3279650380534511,1.35420560836792
cam_left_resized2,cam_left_img12.jpg,9x6,25.696723209914342,26.527856826782227,1.284836160495717,1.3263928413391113
cam_left_resized2,cam_left_img13.jpg,9x6,25.948707539548156,26.436939239501953,1.2974353769774079,1.3218469619750977
cam_left_resized2,cam_left_img14.jpg,9x6,27.96074629342684,28.562946319580078,1.398037314671342,1.428147315979004
cam_left_resized2,cam_left_img15.jpg,9x6,24.99476215403567,25.623077392578125,1.2497381077017835,1.2811538696289062
cam_left_resized2,cam_left_img2.jpg,9x6,23.214099801996703,23.120880126953125,1.1607049900998352,1.1560440063476562
cam_left_resized2,cam_left_img3.jpg,9x6,21.461863592427264,22.208393096923828,1.0730931796213632,1.1104196548461913
cam_left_resized2,cam_left_img4.jpg,9x6,21.456252990242955,22.225454330444336,1.0728126495121477,1.1112727165222167
cam_left_resized2,cam_left_img5.jpg,9x6,24.0301633855348,24.129161834716797,1.20150816927674,1.2064580917358398
cam_left_resized2,cam_left_img6.jpg,9x6,23.522499402364094,23.178401947021484,1.1761249701182046,1.1589200973510743
cam_left_resized2,cam_left_img7.jpg,9x6,25.241480796567856,25.28803253173828,1.2620740398283927,1.264401626586914
cam_left_resized2,cam_left_img8.jpg,9x6,22.631662367452538,22.897958755493164,1.1315831183726268,1.1448979377746582
cam_left_resized2,cam_left_img9.jpg,9x6,26.470515487014605,26.881973266601562,1.3235257743507303,1.3440986633300782
cam_mid_resized2,cam_mid_img0.jpg,9x6,15.755401067817846,18.3281192779541,0.7877700533908923,0.9164059638977051
cam_mid_resized2,cam_mid_img1.jpg,9x6,15.809789213074637,18.9172306060791,0.7904894606537318,0.945861530303955
cam_mid_resized2,cam_mid_img10.jpg,9x6,30.024091966690555,30.32722282409668,1.5012045983345277,1.516361141204834
cam_mid_resized2,cam_mid_img11.jpg,9x6,32.154751951976486,32.83891677856445,1.6077375975988244,1.6419458389282227
cam_mid_resized2,cam_mid_img12.jpg,9x6,36.51284896686513,36.723358154296875,1.8256424483432565,1.8361679077148438
cam_mid_resized2,cam_mid_img13.jpg,9x6,32.87913287583218,33.02825927734375,1.6439566437916089,1.6514129638671875
cam_mid_resized2,cam_mid_img14.jpg,9x6,28.35419952228505,28.64519500732422,1.4177099761142524,1.432259750366211
cam_mid_resized2,cam_mid_img15.jpg,9x6,30.7545530667869,31.270408630371094,1.5377276533393451,1.5635204315185547
cam_mid_resized2,cam_mid_img16.jpg,9x6,36.13849387630339,36.37586975097656,1.8069246938151697,1.818793487548828
cam_mid_resized2,cam_mid_img17.jpg,9x6,32.83359732679141,33.156837463378906,1.6416798663395706,1.6578418731689453
cam_mid_resized2,cam_mid_img18.jpg,9x6,34.611870078630346,34.75974655151367,1.7305935039315172,1.7379873275756836
cam_mid_resized2,cam_mid_img19.jpg,9x6,30.62853845985987,30.991046905517578,1.5314269229929933,1.5495523452758788
cam_mid_resized2,cam_mid_img2.jpg,9x6,27.42198246781544,27.737056732177734,1.371099123390772,1.3868528366088868
cam_mid_resized2,cam_mid_img20.jpg,9x6,32.58866100926553,33.03285217285156,1.6294330504632764,1.6516426086425782
cam_mid_resized2,cam_mid_img21.jpg,9x6,36.708130682668376,37.040740966796875,1.8354065341334187,1.8520370483398438
cam_mid_resized2,cam_mid_img22.jpg,9x6,37.05181677623462,37.03837203979492,1.852590838811731,1.851918601989746
cam_mid_resized2,cam_mid_img23.jpg,9x6,30.546054614487513,31.133197784423828,1.5273027307243756,1.5566598892211914
cam_mid_resized2,cam_mid_img24.jpg,9x6,32.91033716099236,33.118160247802734,1.6455168580496182,1.6559080123901366
cam_mid_resized2,cam_mid_img25.jpg,9x6,33.392857151646766,33.638160705566406,1.6696428575823383,1.6819080352783202
cam_mid_resized2,cam_mid_img26.jpg,9x6,36.27441582628476,36.93699264526367,1.813720791314238,1.8468496322631835
cam_mid_resized2,cam_mid_img27.jpg,9x6,34.14174828478085,34.46171569824219,1.7070874142390426,1.7230857849121093
cam_mid_resized2,cam_mid_img3.jpg,9x6,30.77183493747506,31.067792892456055,1.5385917468737529,1.5533896446228028
cam_mid_resized2,cam_mid_img4.jpg,9x6,28.516739506875314,28.51102638244629,1.4258369753437656,1.4255513191223144
cam_mid_resized2,cam_mid_img5.jpg,9x6,30.976586003457346,31.05225372314453,1.5488293001728672,1.5526126861572265
cam_mid_resized2,cam_mid_img6.jpg,9x6,30.219390130812123,30.11968231201172,1.5109695065406061,1.505984115600586
cam_mid_resized2,cam_mid_img7.jpg,9x6,29.34401128625357,29.785188674926758,1.4672005643126784,1.4892594337463378
cam_mid_resized2,cam_mid_img8.jpg,9x6,24.426872643091347,24.586462020874023,1.2213436321545674,1.2293231010437011
cam_mid_resized2,cam_mid_img9.jpg,9x6,28.40683368969989,28.62778663635254,1.4203416844849945,1.431389331817627
cam_right_resized2,cam_right_img0.jpg,9x6,20.965316833988314,21.4998779296875,1.0482658416994157,1.074993896484375
cam_right_resized2,cam_right_img1.jpg,9x6,13.29053929123667,14.651924133300781,0.6645269645618335,0.7325962066650391
cam_right_resized2,cam_right_img10.jpg,9x6,27.56183086928501,27.77686882019043,1.3780915434642504,1.3888434410095214
cam_right_resized2,cam_right_img11.jpg,9x6,25.832046037079184,26.153913497924805,1.2916023018539593,1.3076956748962403
cam_right_resized2,cam_right_img12.jpg,9x6,21.98501169603313,22.813159942626953,1.0992505848016565,1.1406579971313477
cam_right_resized2,cam_right_img13.jpg,9x6,26.741303782309256,27.363435745239258,1.3370651891154628,1.368171787261963
cam_right_resized2,cam_right_img14.jpg,9x6,27.183773553499613,27.771223068237305,1.3591886776749806,1.3885611534118651
cam_right_resized2,cam_right_img15.jpg,9x6,25.985163821968982,25.971906661987305,1.299258191098449,1.2985953330993651
cam_right_resized2,cam_right_img16.jpg,9x6,26.962057605866462,27.285367965698242,1.348102880293323,1.3642683982849122
cam_right_resized2,cam_right_img17.jpg,9x6,25.318548120478148,25.73284149169922,1.2659274060239074,1.286642074584961
cam_right_resized2,cam_right_img18.jpg,9x6,26.26268163291357,26.686214447021484,1.3131340816456785,1.3343107223510742
cam_right_resized2,cam_right_img19.jpg,9x6,23.188010082449964,23.256732940673828,1.1594005041224982,1.1628366470336915
cam_right_resized2,cam_right_img2.jpg,9x6,23.530710548482915,23.84285545349121,1.1765355274241458,1.1921427726745606
cam_right_resized2,cam_right_img20.jpg,9x6,22.6161921306323,22.756675720214844,1.1308096065316149,1.1378337860107421
cam_right_resized2,cam_right_img21.jpg,9x6,24.568384498678228,24.56064796447754,1.2284192249339114,1.228032398223877
cam_right_resized2,cam_right_img22.jpg,9x6,23.36671894852833,23.380699157714844,1.1683359474264166,1.1690349578857422
cam_right_resized2,cam_right_img23.jpg,9x6,22.17720425513483,22.36240577697754,1.1088602127567415,1.118120288848877
cam_right_resized2,cam_right_img24.jpg,9x6,24.457034859606015,24.634780883789062,1.2228517429803007,1.2317390441894531
cam_right_resized2,cam_right_img25.jpg,9x6,23.9123719123102,24.056303024291992,1.1956185956155099,1.2028151512145997
cam_right_resized2,cam_right_img26.jpg,9x6,25.0083195881177,25.29307746887207,1.2504159794058851,1.2646538734436035
cam_right_resized2,cam_right_img27.jpg,9x6,22.873815290389523,23.249208450317383,1.143690764519476,1.1624604225158692
cam_right_resized2,cam_right_img28.jpg,9x6,22.87057436666181,22.72939109802246,1.1435287183330904,1.136469554901123
cam_right_resized2,cam_right_img29.jpg,9x6,21.737431208292644,21.83466148376465,1.0868715604146322,1.0917330741882325
cam_right_resized2,cam_right_img3.jpg,9x6,23.015742332704605,22.47364616394043,1.1507871166352301,1.1236823081970215
cam_right_resized2,cam_right_img4.jpg,9x6,22.144107336109965,23.275272369384766,1.1072053668054982,1.1637636184692384
cam_right_resized2,cam_right_img5.jpg,9x6,23.303775910408266,23.216842651367188,1.1651887955204132,1.1608421325683593
cam_right_resized2,cam_right_img6.jpg,9x6,27.76402932854109,28.442216873168945,1.3882014664270543,1.4221108436584473
cam_right_resized2,cam_right_img7.jpg,9x6,24.851462702597342,25.31354522705078,1.242573135129867,1.265677261352539
cam_right_resized2,cam_right_img8.jpg,9x6,26.948345922654674,27.658008575439453,1.3474172961327338,1.3829004287719726
cam_right_resized2,cam_right_img9.jpg,9x6,24.738191481559507,24.35196304321289,1.2369095740779754,1.2175981521606445
